Epoch 1/100, Clear train acc: 59.7581%, Clear train loss: 1.6819, Clear val acc: 54.58%, Clear val loss: 2.0026
Epoch 53/100, Clear train acc: 96.7321%, Clear train loss: 0.1173, Clear val acc: 83.77%, Clear val loss: 0.8483
Epoch 54/100, Clear train acc: 96.9162%, Clear train loss: 0.1086, Clear val acc: 85.09%, Clear val loss: 0.8306
Epoch 55/100, Clear train acc: 96.7837%, Clear train loss: 0.1138, Clear val acc: 85.01%, Clear val loss: 0.7935
Epoch 56/100, Clear train acc: 97.1676%, Clear train loss: 0.1008, Clear val acc: 84.87%, Clear val loss: 0.7951
Epoch 57/100, Clear train acc: 97.1242%, Clear train loss: 0.1025, Clear val acc: 85.19%, Clear val loss: 0.8369
Epoch 58/100, Clear train acc: 97.2986%, Clear train loss: 0.0937, Clear val acc: 85.65%, Clear val loss: 0.7762
Epoch 59/100, Clear train acc: 97.3854%, Clear train loss: 0.0904, Clear val acc: 86.58%, Clear val loss: 0.7239
Epoch 60/100, Clear train acc: 97.5373%, Clear train loss: 0.0857, Clear val acc: 85.87%, Clear val loss: 0.7699
Epoch 61/100, Clear train acc: 97.7266%, Clear train loss: 0.0802, Clear val acc: 86.26%, Clear val loss: 0.7831
Epoch 62/100, Clear train acc: 97.5867%, Clear train loss: 0.0864, Clear val acc: 86.86%, Clear val loss: 0.7568
Epoch 63/100, Clear train acc: 97.5410%, Clear train loss: 0.0845, Clear val acc: 86.08%, Clear val loss: 0.7199
Epoch 64/100, Clear train acc: 97.9548%, Clear train loss: 0.0728, Clear val acc: 87.64%, Clear val loss: 0.6823
Epoch 65/100, Clear train acc: 97.8216%, Clear train loss: 0.0755, Clear val acc: 86.68%, Clear val loss: 0.7792
Epoch 66/100, Clear train acc: 97.9167%, Clear train loss: 0.0739, Clear val acc: 86.01%, Clear val loss: 0.8167
Epoch 67/100, Clear train acc: 97.8531%, Clear train loss: 0.0745, Clear val acc: 87.18%, Clear val loss: 0.7714
Epoch 68/100, Clear train acc: 98.1756%, Clear train loss: 0.0635, Clear val acc: 87.82%, Clear val loss: 0.7292
Epoch 69/100, Clear train acc: 98.3410%, Clear train loss: 0.0579, Clear val acc: 87.25%, Clear val loss: 0.7313
Epoch 70/100, Clear train acc: 98.1876%, Clear train loss: 0.0633, Clear val acc: 87.64%, Clear val loss: 0.6975
Epoch 91/100, Clear train acc: 99.0616%, Clear train loss: 0.0334, Clear val acc: 89.35%, Clear val loss: 0.6065
Epoch 92/100, Clear train acc: 98.9950%, Clear train loss: 0.0349, Clear val acc: 89.20%, Clear val loss: 0.6259
Epoch 93/100, Clear train acc: 99.0287%, Clear train loss: 0.0335, Clear val acc: 89.13%, Clear val loss: 0.6247
Epoch 94/100, Clear train acc: 99.0017%, Clear train loss: 0.0342, Clear val acc: 89.24%, Clear val loss: 0.6163
Epoch 95/100, Clear train acc: 98.9965%, Clear train loss: 0.0351, Clear val acc: 88.78%, Clear val loss: 0.6244
Epoch 96/100, Clear train acc: 99.0145%, Clear train loss: 0.0342, Clear val acc: 88.99%, Clear val loss: 0.6407
Epoch 97/100, Clear train acc: 98.9104%, Clear train loss: 0.0375, Clear val acc: 88.88%, Clear val loss: 0.6405
Epoch 98/100, Clear train acc: 98.9755%, Clear train loss: 0.0346, Clear val acc: 89.03%, Clear val loss: 0.6286
Epoch 99/100, Clear train acc: 98.9591%, Clear train loss: 0.0352, Clear val acc: 88.81%, Clear val loss: 0.6533
Epoch 100/100, Clear train acc: 98.8917%, Clear train loss: 0.0382, Clear val acc: 88.88%, Clear val loss: 0.6078
