Epoch 1/100, Blur train acc: 51.6792%, Blur train loss: 2.0869, Blur val acc: 43.61%, Blur val loss: 2.7180
Epoch 57/100, Blur train acc: 96.7433%, Blur train loss: 0.1169, Blur val acc: 79.83%, Blur val loss: 1.1069
Epoch 58/100, Blur train acc: 96.8256%, Blur train loss: 0.1124, Blur val acc: 81.89%, Blur val loss: 0.9157
Epoch 59/100, Blur train acc: 96.9940%, Blur train loss: 0.1072, Blur val acc: 83.81%, Blur val loss: 0.8670
Epoch 60/100, Blur train acc: 96.6011%, Blur train loss: 0.1203, Blur val acc: 81.82%, Blur val loss: 0.9871
Epoch 61/100, Blur train acc: 97.1219%, Blur train loss: 0.1017, Blur val acc: 85.26%, Blur val loss: 0.8107
Epoch 62/100, Blur train acc: 97.0658%, Blur train loss: 0.1021, Blur val acc: 86.36%, Blur val loss: 0.7398
Epoch 63/100, Blur train acc: 97.2424%, Blur train loss: 0.0981, Blur val acc: 85.80%, Blur val loss: 0.7941
Epoch 64/100, Blur train acc: 97.3614%, Blur train loss: 0.0920, Blur val acc: 86.33%, Blur val loss: 0.7447
Epoch 65/100, Blur train acc: 97.5679%, Blur train loss: 0.0846, Blur val acc: 87.68%, Blur val loss: 0.6638
Epoch 66/100, Blur train acc: 97.4288%, Blur train loss: 0.0925, Blur val acc: 86.58%, Blur val loss: 0.7558
Epoch 67/100, Blur train acc: 97.6390%, Blur train loss: 0.0830, Blur val acc: 87.22%, Blur val loss: 0.6910
Epoch 68/100, Blur train acc: 97.8366%, Blur train loss: 0.0752, Blur val acc: 87.46%, Blur val loss: 0.6871
Epoch 69/100, Blur train acc: 97.9728%, Blur train loss: 0.0728, Blur val acc: 88.46%, Blur val loss: 0.6176
Epoch 70/100, Blur train acc: 97.9451%, Blur train loss: 0.0716, Blur val acc: 87.61%, Blur val loss: 0.6444
Epoch 71/100, Blur train acc: 98.2018%, Blur train loss: 0.0632, Blur val acc: 88.14%, Blur val loss: 0.6186
Epoch 72/100, Blur train acc: 98.1965%, Blur train loss: 0.0623, Blur val acc: 88.74%, Blur val loss: 0.6075
Epoch 73/100, Blur train acc: 98.2624%, Blur train loss: 0.0608, Blur val acc: 88.92%, Blur val loss: 0.6006
Epoch 74/100, Blur train acc: 98.3178%, Blur train loss: 0.0610, Blur val acc: 88.81%, Blur val loss: 0.6024
Epoch 75/100, Blur train acc: 98.3440%, Blur train loss: 0.0592, Blur val acc: 89.20%, Blur val loss: 0.6003
Epoch 76/100, Blur train acc: 98.3230%, Blur train loss: 0.0592, Blur val acc: 89.06%, Blur val loss: 0.6015
Epoch 77/100, Blur train acc: 98.2976%, Blur train loss: 0.0591, Blur val acc: 89.24%, Blur val loss: 0.6020
Epoch 78/100, Blur train acc: 98.3499%, Blur train loss: 0.0594, Blur val acc: 89.28%, Blur val loss: 0.6025
Epoch 79/100, Blur train acc: 98.2961%, Blur train loss: 0.0597, Blur val acc: 89.20%, Blur val loss: 0.6024
Epoch 80/100, Blur train acc: 98.3679%, Blur train loss: 0.0579, Blur val acc: 89.24%, Blur val loss: 0.6023
Epoch 81/100, Blur train acc: 97.8837%, Blur train loss: 0.0767, Blur val acc: 89.35%, Blur val loss: 0.6003
Epoch 82/100, Blur train acc: 97.9227%, Blur train loss: 0.0731, Blur val acc: 89.28%, Blur val loss: 0.5945
Epoch 83/100, Blur train acc: 98.0439%, Blur train loss: 0.0693, Blur val acc: 89.35%, Blur val loss: 0.5975
Epoch 84/100, Blur train acc: 98.0925%, Blur train loss: 0.0653, Blur val acc: 89.38%, Blur val loss: 0.5929
Epoch 85/100, Blur train acc: 98.0858%, Blur train loss: 0.0674, Blur val acc: 89.35%, Blur val loss: 0.5959
Epoch 86/100, Blur train acc: 98.2167%, Blur train loss: 0.0633, Blur val acc: 89.45%, Blur val loss: 0.6051
Epoch 87/100, Blur train acc: 98.1853%, Blur train loss: 0.0642, Blur val acc: 89.42%, Blur val loss: 0.5918
Epoch 88/100, Blur train acc: 98.1352%, Blur train loss: 0.0652, Blur val acc: 89.10%, Blur val loss: 0.5902
Epoch 89/100, Blur train acc: 98.2489%, Blur train loss: 0.0621, Blur val acc: 89.60%, Blur val loss: 0.5793
Epoch 90/100, Blur train acc: 98.2729%, Blur train loss: 0.0604, Blur val acc: 89.56%, Blur val loss: 0.5978
Epoch 91/100, Blur train acc: 98.2781%, Blur train loss: 0.0618, Blur val acc: 88.96%, Blur val loss: 0.6054
Epoch 92/100, Blur train acc: 98.2601%, Blur train loss: 0.0605, Blur val acc: 89.35%, Blur val loss: 0.5965
Epoch 93/100, Blur train acc: 98.3208%, Blur train loss: 0.0585, Blur val acc: 89.45%, Blur val loss: 0.5927
Epoch 94/100, Blur train acc: 98.3140%, Blur train loss: 0.0597, Blur val acc: 89.20%, Blur val loss: 0.5823
Epoch 95/100, Blur train acc: 98.3866%, Blur train loss: 0.0583, Blur val acc: 89.28%, Blur val loss: 0.5776
Epoch 96/100, Blur train acc: 98.3357%, Blur train loss: 0.0587, Blur val acc: 89.17%, Blur val loss: 0.5769
Epoch 97/100, Blur train acc: 98.3544%, Blur train loss: 0.0579, Blur val acc: 89.06%, Blur val loss: 0.5871
Epoch 98/100, Blur train acc: 98.3148%, Blur train loss: 0.0596, Blur val acc: 89.20%, Blur val loss: 0.6069
Epoch 99/100, Blur train acc: 98.3529%, Blur train loss: 0.0586, Blur val acc: 88.96%, Blur val loss: 0.6002
Epoch 100/100, Blur train acc: 98.4076%, Blur train loss: 0.0566, Blur val acc: 88.92%, Blur val loss: 0.6203
